99;Es;Einsteinium;Einsteinium;252.000;1.300;37;A. Ghiorso;1952;1133;860
100;Fm;Fermium;Fermium;257.000;1.300;37;A. Ghiorso;1952;1800;1527
101;Md;Mendelevium;Mendelevium;258.000;1.300;37;A. Ghiorso;1955;1100;827
102;No;Nobelium;Nobelium;259.000;1.300;37;A. Ghiorso;1958;0;827
103;Lr;Lawrencium;Lawrencium;262.000;1.300;37;A. Ghiorso;1961;0;1627
104;Rf;Rutherfordium;Rutherfordium;267.000;1.300;17;G. Flerov;1964;0;0
105;Db;Dubnium;Dubnium;268.000;1.300;17;G. Flerov;1967;0;0
106;Sg;Seaborgium;Seaborgium;269.000;1.300;17;G. Flerov;1974;0;0
107;Bh;Bohrium;Bohrium;270.000;1.300;17;G. Flerov;1981;0;0
108;Hs;Hassium;Hassium;269.000;1.300;17;G. Flerov;1984;0;0
109;Mt;Meitnerium;Meitnerium;278.000;1.300;17;G. Munzenberg;1982;0;0
110;Ds;Darmstadtium;Darmstadtium;281.000;1.300;17;G. Munzenberg;1994;0;0
111;Rg;Roentgenium;Roentgenium;282.000;1.300;17;G. Munzenberg;1994;0;0
112;Cn;Copernicium;Copernicium;285.000;1.300;18;G. Munzenberg;1996;0;0
113;Nh;Nihonium;Nihonium;286.000;1.300;25;K. Morita;2004;0;0
114;Fl;Flerovium;Flerovium;289.000;1.300;25;Y. Oganessian;1999;0;0
115;Mc;Moscovium;Moscovium;290.000;1.300;25;Y. Oganessian;2003;0;0
116;Lv;Livermorium;Livermorium;293.000;1.300;25;Y. Oganessian;2000;0;0
117;Ts;Tennessine;Tennessin;294.000;1.300;41;Y. Oganessian;2010;0;0
118;Og;Oganesson;Oganesson;294.000;1.300;31;Y. Oganessian;2002;0;0
